,observationID,mediaID,filename,person,vehicles
0,1718266733014.0,1718266905336.0,1718266905336.jpg,1.0,1.0
1,1718266733014.0,1718266913377.0,1718266913377.jpg,0.0,2.0
2,1718266733014.0,1718266921444.0,1718266921444.jpg,0.0,0.0
3,1718267618450.0,1718267828875.0,1718267828875.jpg,3.0,1.0
4,1718267618450.0,1718267836964.0,1718267836964.jpg,0.0,0.0
5,1718267618450.0,1718267846577.0,1718267846577.jpg,0.0,0.0
6,1718268467154.0,1718268631834.0,1718268631834.jpg,0.0,0.0
7,1718268467154.0,1718268641760.0,1718268641760.jpg,0.0,4.0
8,1718268467154.0,1718268657255.0,1718268657255.jpg,0.0,3.0
9,1718269293446.0,1718269458566.0,1718269458566.jpg,7.0,1.0
10,1718269293446.0,1718269475036.0,1718269475036.jpg,9.0,0.0
11,1718269293446.0,1718269482704.0,1718269482704.jpg,5.0,0.0
12,1718270040934.0,1718270224155.0,1718270224155.jpg,1.0,3.0
13,1718270040934.0,1718270231787.0,1718270231787.jpg,1.0,0.0
14,1718270040934.0,1718270275148.0,1718270275148.jpg,0.0,0.0
15,1718270244840.0,1718270339733.0,1718270339733.jpg,0.0,0.0
16,1718270244840.0,1718270374436.0,1718270374436.jpg,0.0,0.0
17,1718270244840.0,1718270386180.0,1718270386180.jpg,0.0,7.0
18,1718271504316.0,1718271576552.0,1718271576552.jpg,5.0,0.0
19,1718271504316.0,1718271586933.0,1718271586933.jpg,0.0,0.0
20,1718271504316.0,1718271594273.0,1718271594273.jpg,0.0,1.0
21,1718272521723.0,1718272615619.0,1718272615619.jpg,0.0,0.0
22,1718272521723.0,1718272623492.0,1718272623492.jpg,0.0,1.0
23,1718272521723.0,1718272631217.0,1718272631217.jpg,2.0,0.0
24,1718273580862.0,1718273655331.0,1718273655331.jpg,1.0,1.0
25,1718273580862.0,1718273665637.0,1718273665637.jpg,0.0,0.0
26,1718273580862.0,1718273682043.0,1718273682043.jpg,0.0,0.0
27,1718274113593.0,1718274217642.0,1718274217642.jpg,0.0,0.0
28,1718274113593.0,1718274226392.0,1718274226392.jpg,1.0,1.0
29,1718274113593.0,1718274238587.0,1718274238587.jpg,0.0,2.0
30,1718269063538.0,1718269442662.0,1718269442662.jpg,0.0,2.0
31,1718269063538.0,1718269459366.0,1718269459366.jpg,1.0,2.0
32,1718269063538.0,1718269472262.0,1718269472262.jpg,0.0,0.0
33,1718270444854.0,1718270900290.0,1718270900290.jpg,2.0,0.0
34,1718270444854.0,1718270913273.0,1718270913273.jpg,0.0,0.0
35,1718270444854.0,1718270927767.0,1718270927767.jpg,1.0,0.0
36,1718271515669.0,1718271741142.0,1718271741142.jpg,0.0,4.0
37,1718271515669.0,1718271754069.0,1718271754069.jpg,0.0,11.0
38,1718271515669.0,1718271773357.0,1718271773357.jpg,0.0,0.0
39,1718272492896.0,1718272856293.0,1718272856293.jpg,10.0,1.0
40,1718272492896.0,1718272869310.0,1718272869310.jpg,2.0,4.0
41,1718272492896.0,1718272881145.0,1718272881145.jpg,1.0,0.0
42,1718273279572.0,1718273662914.0,1718273662914.jpg,0.0,4.0
43,1718273279572.0,1718273682825.0,1718273682825.jpg,2.0,4.0
44,1718273279572.0,1718273710580.0,1718273710580.jpg,0.0,0.0
45,1718268361388.0,1718268413162.0,1718268413162.jpg,8.0,0.0
46,1718268361388.0,1718268473543.0,1718268473543.jpg,1.0,0.0
47,1718268361388.0,1718268519799.0,1718268519799.jpg,0.0,0.0
48,1718269639688.0,1718269639684.0,1718269639684.jpg,0.0,5.0
49,1718269639688.0,1718269691794.0,1718269691794.jpg,0.0,0.0
50,1718269639688.0,1718269707615.0,1718269707615.jpg,1.0,9.0
51,1718270575331.0,1718270575322.0,1718270575322.jpg,9.0,0.0
52,1718270575331.0,1718270676960.0,1718270676960.jpg,9.0,0.0
53,1718270575331.0,1718270779320.0,1718270779320.jpg,5.0,1.0
54,1718271907026.0,1718271907019.0,1718271907019.jpg,3.0,8.0
55,1718271907026.0,1718271961695.0,1718271961695.jpg,5.0,1.0
56,1718271907026.0,1718272311456.0,1718272311456.jpg,1.0,0.0
57,1718272839851.0,1718272839845.0,1718272839845.jpg,0.0,5.0
58,1718272839851.0,1718272896655.0,1718272896655.jpg,1.0,2.0
59,1718272839851.0,1718272921178.0,1718272921178.jpg,2.0,8.0
60,1718271092764.0,1718271337736.0,1718271337736.jpg,0.0,0.0
61,1718271092764.0,1718271362400.0,1718271362400.jpg,0.0,0.0
62,1718271092764.0,1718271379774.0,1718271379774.jpg,0.0,3.0
63,1718272237486.0,1718272411872.0,1718272411872.jpg,2.0,0.0
64,1718272237486.0,1718272427355.0,1718272427355.jpg,7.0,0.0
65,1718272237486.0,1718272462423.0,1718272462423.jpg,6.0,0.0
66,1718273131247.0,1718273375894.0,1718273375894.jpg,0.0,6.0
67,1718273131247.0,1718273404822.0,1718273404822.jpg,0.0,10.0
68,1718273131247.0,1718273418185.0,1718273418185.jpg,1.0,11.0
69,1718274044788.0,1718274258758.0,1718274258758.jpg,5.0,0.0
70,1718274044788.0,1718274278187.0,1718274278187.jpg,6.0,2.0
71,1718274044788.0,1718274336579.0,1718274336579.jpg,11.0,0.0
72,1718275456404.0,1718275887968.0,1718275887968.jpg,3.0,1.0
73,1718275456404.0,1718275897528.0,1718275897528.jpg,0.0,2.0
74,1718275456404.0,1718275930117.0,1718275930117.jpg,0.0,1.0
75,1718268231934.0,1718268420395.0,1718268420395.jpg,1.0,4.0
76,1718268231934.0,1718268432580.0,1718268432580.jpg,0.0,0.0
77,1718268231934.0,1718268470160.0,1718268470160.jpg,0.0,2.0
78,1718269088316.0,1718269230463.0,1718269230463.jpg,0.0,0.0
79,1718269088316.0,1718269241977.0,1718269241977.jpg,0.0,0.0
80,1718269088316.0,1718269251699.0,1718269251699.jpg,0.0,0.0
81,1718269820916.0,1718269975904.0,1718269975904.jpg,0.0,0.0
82,1718269820916.0,1718269996347.0,1718269996347.jpg,0.0,0.0
83,1718269820916.0,1718270015273.0,1718270015273.jpg,0.0,0.0
84,1718270633720.0,1718270780304.0,1718270780304.jpg,6.0,1.0
85,1718270633720.0,1718270816581.0,1718270816581.jpg,0.0,0.0
86,1718270633720.0,1718270843809.0,1718270843809.jpg,0.0,0.0
87,1718271179213.0,1718271316611.0,1718271316611.jpg,1.0,1.0
88,1718271179213.0,1718271328658.0,1718271328658.jpg,0.0,0.0
89,1718271179213.0,1718271340668.0,1718271340668.jpg,1.0,8.0
90,1718272882985.0,1718273085325.0,1718273085325.jpg,0.0,3.0
91,1718272882985.0,1718273094721.0,1718273094721.jpg,0.0,4.0
92,1718272882985.0,1718273122037.0,1718273122037.jpg,0.0,0.0
93,1718273948834.0,1718274091992.0,1718274091992.jpg,4.0,0.0
94,1718273948834.0,1718274113061.0,1718274113061.jpg,0.0,2.0
95,1718273948834.0,1718274143803.0,1718274143803.jpg,1.0,1.0
96,1718274745909.0,1718274958653.0,1718274958653.jpg,0.0,8.0
97,1718274745909.0,1718274971176.0,1718274971176.jpg,0.0,3.0
98,1718274745909.0,1718274983572.0,1718274983572.jpg,0.0,5.0
99,1718275690668.0,1718275843615.0,1718275843615.jpg,4.0,2.0
100,1718275690668.0,1718275856924.0,1718275856924.jpg,4.0,0.0
101,1718275690668.0,1718275869384.0,1718275869384.jpg,8.0,2.0
102,1718276201139.0,1718276392283.0,1718276392283.jpg,1.0,8.0
103,1718276201139.0,1718276402930.0,1718276402930.jpg,1.0,6.0
104,1718276201139.0,1718276412759.0,1718276412759.jpg,1.0,1.0
105,1718881138033.0,1718881260417.0,1718881260417.jpg,1.0,1.0
106,1718881138033.0,1718881272453.0,1718881272453.jpg,0.0,8.0
107,1718882615264.0,1718882628531.0,1718882628531.jpg,2.0,0.0
108,1718883597973.0,1718883634071.0,1718883634071.jpg,2.0,1.0
109,1718883597973.0,1718883652673.0,1718883652673.jpg,2.0,1.0
110,1718884293809.0,1718884348449.0,1718884348449.jpg,0.0,0.0
111,1718884293809.0,1718884368779.0,1718884368779.jpg,1.0,3.0
112,1718885731065.0,1718885742930.0,1718885742930.jpg,0.0,13.0
113,1718885731065.0,1718885751524.0,1718885751524.jpg,4.0,5.0
114,1718272000850.0,1718272290210.0,1718272290210.jpg,0.0,0.0
115,1718272000850.0,1718272359961.0,1718272359961.jpg,1.0,5.0
116,1718272000850.0,1718272377357.0,1718272377357.jpg,0.0,7.0
117,1718273090711.0,1718273306811.0,1718273306811.jpg,15.0,3.0
118,1718273090711.0,1718273330052.0,1718273330052.jpg,11.0,0.0
119,1718273090711.0,1718273355786.0,1718273355786.jpg,10.0,1.0
120,1718273914954.0,1718274116683.0,1718274116683.jpg,0.0,6.0
121,1718273914954.0,1718274145963.0,1718274145963.jpg,0.0,7.0
122,1718273914954.0,1718274154867.0,1718274154867.jpg,4.0,6.0
123,1718274784603.0,1718274963004.0,1718274963004.jpg,7.0,3.0
124,1718274784603.0,1718274969459.0,1718274969459.jpg,6.0,1.0
125,1718274784603.0,1718274980087.0,1718274980087.jpg,4.0,0.0
126,1718275480952.0,1718275638474.0,1718275638474.jpg,2.0,7.0
127,1718275480952.0,1718275655593.0,1718275655593.jpg,3.0,5.0
128,1718275480952.0,1718275685805.0,1718275685805.jpg,3.0,5.0
129,1718882287230.0,1718882602130.0,1718882602130.jpg,2.0,8.0
130,1718882287230.0,1718882617918.0,1718882617918.jpg,0.0,6.0
131,1718882287230.0,1718882645507.0,1718882645507.jpg,0.0,0.0
132,1718883391746.0,1718883857826.0,1718883857826.jpg,0.0,0.0
133,1718883391746.0,1718883891019.0,1718883891019.jpg,1.0,0.0
134,1718883391746.0,1718883954851.0,1718883954851.jpg,2.0,0.0
135,1718884544559.0,1718884772751.0,1718884772751.jpg,1.0,2.0
136,1718884544559.0,1718884785514.0,1718884785514.jpg,1.0,14.0
137,1718884544559.0,1718884804167.0,1718884804167.jpg,2.0,2.0
138,1718885403870.0,1718885637390.0,1718885637390.jpg,3.0,0.0
139,1718885403870.0,1718885646963.0,1718885646963.jpg,0.0,0.0
140,1718885403870.0,1718885658294.0,1718885658294.jpg,4.0,8.0
141,1718886467154.0,1718886672300.0,1718886672300.jpg,3.0,5.0
142,1718886467154.0,1718886697758.0,1718886697758.jpg,0.0,1.0
143,1718886467154.0,1718886706465.0,1718886706465.jpg,1.0,4.0
144,1718879608567.0,1718879919161.0,1718879919161.jpg,0.0,8.0
145,1718879608567.0,1718879953443.0,1718879953443.jpg,0.0,3.0
146,1718879608567.0,1718879983815.0,1718879983815.jpg,1.0,6.0
147,1718880840037.0,1718881222444.0,1718881222444.jpg,5.0,2.0
148,1718880840037.0,1718881237758.0,1718881237758.jpg,4.0,0.0
149,1718880840037.0,1718881253779.0,1718881253779.jpg,0.0,0.0
150,1718881973844.0,1718882150735.0,1718882150735.jpg,0.0,2.0
151,1718881973844.0,1718882186133.0,1718882186133.jpg,1.0,6.0
152,1718881973844.0,1718882199650.0,1718882199650.jpg,0.0,4.0
153,1718883260779.0,1718883260776.0,1718883260776.jpg,6.0,1.0
154,1718883260779.0,1718883270673.0,1718883270673.jpg,9.0,1.0
155,1718883260779.0,1718883283420.0,1718883283420.jpg,6.0,1.0
156,1718883686306.0,1718883944658.0,1718883944658.jpg,0.0,0.0
157,1718883686306.0,1718883955123.0,1718883955123.jpg,4.0,8.0
158,1718883686306.0,1718883963128.0,1718883963128.jpg,3.0,6.0
159,1718881820023.0,1718882062285.0,1718882062285.jpg,0.0,1.0
160,1718881820023.0,1718882073240.0,1718882073240.jpg,9.0,0.0
161,1718881820023.0,1718882085284.0,1718882085284.jpg,0.0,0.0
162,1718882810423.0,1718883023407.0,1718883023407.jpg,0.0,0.0
163,1718882810423.0,1718883036834.0,1718883036834.jpg,2.0,0.0
164,1718882810423.0,1718883061520.0,1718883061520.jpg,0.0,0.0
165,1718883841112.0,1718883976880.0,1718883976880.jpg,1.0,2.0
166,1718883841112.0,1718883988355.0,1718883988355.jpg,0.0,0.0
167,1718883841112.0,1718884003717.0,1718884003717.jpg,0.0,3.0
168,1718884745433.0,1718885074486.0,1718885074486.jpg,9.0,0.0
169,1718884745433.0,1718885101801.0,1718885101801.jpg,3.0,10.0
170,1718884745433.0,1718885127386.0,1718885127386.jpg,1.0,0.0
171,1718885592649.0,1718885761617.0,1718885761617.jpg,0.0,0.0
172,1718885592649.0,1718885804029.0,1718885804029.jpg,0.0,0.0
173,1718885592649.0,1718885818053.0,1718885818053.jpg,0.0,0.0
174,1718270298234.0,1718270298229.0,1718270298229.jpg,0.0,5.0
175,1718270298234.0,1718270318319.0,1718270318319.jpg,0.0,0.0
176,1718270298234.0,1718270330227.0,1718270330227.jpg,0.0,1.0
177,1718271520478.0,1718271861242.0,1718271861242.jpg,2.0,1.0
178,1718271520478.0,1718271878586.0,1718271878586.jpg,0.0,0.0
179,1718271520478.0,1718271893887.0,1718271893887.jpg,0.0,0.0
180,1718272511625.0,1718273027650.0,1718273027650.jpg,3.0,0.0
181,1718272511625.0,1718273041933.0,1718273041933.jpg,0.0,2.0
182,1718272511625.0,1718273055239.0,1718273055239.jpg,1.0,2.0
183,1718273594943.0,1718273745377.0,1718273745377.jpg,4.0,2.0
184,1718273594943.0,1718273762837.0,1718273762837.jpg,10.0,0.0
185,1718273594943.0,1718273778129.0,1718273778129.jpg,6.0,0.0
186,1718274113238.0,1718274556755.0,1718274556755.jpg,2.0,3.0
187,1718274113238.0,1718274567980.0,1718274567980.jpg,1.0,10.0
188,1718274113238.0,1718274581533.0,1718274581533.jpg,0.0,0.0
189,1718274066335.0,1718274750475.0,1718274750475.jpg,0.0,0.0
190,1718274066335.0,1718274765085.0,1718274765085.jpg,0.0,1.0
191,1718274066335.0,1718274782835.0,1718274782835.jpg,0.0,2.0
192,1718275615959.0,1718276528551.0,1718276528551.jpg,0.0,0.0
193,1718275615959.0,1718276540236.0,1718276540236.jpg,1.0,1.0
194,1718275615959.0,1718276549370.0,1718276549370.jpg,2.0,4.0
195,1718277151933.0,1718277316937.0,1718277316937.jpg,1.0,5.0
196,1718277151933.0,1718277336123.0,1718277336123.jpg,0.0,6.0
197,1718277151933.0,1718277347332.0,1718277347332.jpg,0.0,3.0
198,1718277899537.0,1718278276718.0,1718278276718.jpg,13.0,0.0
199,1718277899537.0,1718278282630.0,1718278282630.jpg,7.0,0.0
200,1718277899537.0,1718278297227.0,1718278297227.jpg,12.0,2.0
201,1718278547266.0,1718278897681.0,1718278897681.jpg,1.0,1.0
202,1718278547266.0,1718278906742.0,1718278906742.jpg,3.0,2.0
203,1718278547266.0,1718278914193.0,1718278914193.jpg,2.0,8.0
204,1718275541861.0,1718275704602.0,1718275704602.jpg,0.0,3.0
205,1718275541861.0,1718275727369.0,1718275727369.jpg,0.0,5.0
206,1718275541861.0,1718275740319.0,1718275740319.jpg,0.0,0.0
207,1718276440532.0,1718276590877.0,1718276590877.jpg,0.0,1.0
208,1718276440532.0,1718276600244.0,1718276600244.jpg,3.0,5.0
209,1718276440532.0,1718276615856.0,1718276615856.jpg,3.0,0.0
210,1718277082309.0,1718277234228.0,1718277234228.jpg,0.0,4.0
211,1718277082309.0,1718277247254.0,1718277247254.jpg,0.0,2.0
212,1718277082309.0,1718277255508.0,1718277255508.jpg,1.0,2.0
213,1718277836626.0,1718277996460.0,1718277996460.jpg,12.0,2.0
214,1718277836626.0,1718278011187.0,1718278011187.jpg,2.0,5.0
215,1718277836626.0,1718278025680.0,1718278025680.jpg,14.0,2.0
216,1718278299994.0,1718278474996.0,1718278474996.jpg,0.0,0.0
217,1718278299994.0,1718278484367.0,1718278484367.jpg,0.0,0.0
218,1718278299994.0,1718278496618.0,1718278496618.jpg,2.0,8.0
219,1718273026070.0,1718273598321.0,1718273598321.jpg,0.0,2.0
220,1718273026070.0,1718273615283.0,1718273615283.jpg,0.0,0.0
221,1718273026070.0,1718273629847.0,1718273629847.jpg,0.0,0.0
222,1718275564692.0,1718275835795.0,1718275835795.jpg,5.0,0.0
223,1718275564692.0,1718275850012.0,1718275850012.jpg,0.0,0.0
224,1718275564692.0,1718275876352.0,1718275876352.jpg,10.0,0.0
225,1718277122119.0,1718277343049.0,1718277343049.jpg,0.0,4.0
226,1718277122119.0,1718277353732.0,1718277353732.jpg,3.0,3.0
227,1718277122119.0,1718277367972.0,1718277367972.jpg,3.0,10.0
228,1718277918503.0,1718278100697.0,1718278100697.jpg,18.0,0.0
229,1718277918503.0,1718278107879.0,1718278107879.jpg,4.0,0.0
230,1718277918503.0,1718278116704.0,1718278116704.jpg,10.0,1.0
231,1718278344068.0,1718278570887.0,1718278570887.jpg,3.0,1.0
232,1718278344068.0,1718278582950.0,1718278582950.jpg,0.0,0.0
233,1718278344068.0,1718278643246.0,1718278643246.jpg,0.0,0.0
